Wavelength_nm,UV_photoreceptor,G_photoreceptor,R_photoreceptor
438,0.048387106,0.18465054,0.110168483
439,0.043153088,0.18973949,0.106977044
440,0.038395998,0.194758312,0.103865038
441,0.034155972,0.198509963,0.101847157
442,0.030376648,0.202469209,0.099849633
443,0.027016533,0.208511205,0.09703812
444,0.024041321,0.215052058,0.094349243
445,0.021333115,0.219358856,0.092347724
446,0.018929415,0.225920517,0.088862961
447,0.016822586,0.233160913,0.085437959
448,0.014939956,0.238366055,0.083151789
449,0.013259468,0.243612209,0.080953861
450,0.011778535,0.251630625,0.078173041
451,0.010447825,0.259523483,0.075274758
452,0.009255401,0.264862466,0.073197719
453,0.008209623,0.270637268,0.071187495
454,0.007290828,0.279588473,0.068120914
455,0.006464826,0.288264513,0.064792704
456,0.005733844,0.294434026,0.062772953
457,0.005096097,0.304248649,0.059975748
458,0.004532274,0.314377761,0.057187827
459,0.004028175,0.321629094,0.055542968
460,0.003584104,0.332376625,0.05287129
461,0.003185524,0.342812898,0.05022094
462,0.002829156,0.35011925,0.048703339
463,0.002513924,0.357366368,0.047162751
464,0.002236042,0.368501055,0.044727899
465,0.0019926,0.380506689,0.042508016
466,0.001772819,0.388400389,0.041060602
467,0.001579006,0.40023519,0.039361936
468,0.001404788,0.41180978,0.038007526
469,0.001249676,0.419487919,0.037015715
470,0.001111245,0.427206625,0.035918689
471,0.00099181,0.439998241,0.034257054
472,0.000886959,0.453578771,0.03267165
473,0.000790704,0.462606215,0.031790162
474,0.000707799,0.476366274,0.030524457
475,0.000631792,0.489632767,0.029175055
476,0.000564233,0.498186047,0.028192977
477,0.000504066,0.507215938,0.02723234
478,0.000449586,0.520529555,0.025782666
479,0.000402047,0.534017492,0.024453444
480,0.000359774,0.543232969,0.023686224
481,0.000322081,0.557274623,0.022638616
482,0.00028851,0.571486722,0.021722157
483,0.000258893,0.581346782,0.021130946
484,0.000232116,0.59139366,0.02045147
485,0.000208058,0.605665681,0.019471724
486,0.000186453,0.618812491,0.018511558
487,0.000167667,0.627752073,0.017911909
488,0.000150299,0.640713598,0.016956174
489,0.000134512,0.654367147,0.016106501
490,0.000121657,0.6643131,0.015623091
491,0.000108603,0.673324886,0.015204976
492,9.70E-05,0.686836634,0.014726165
493,8.85E-05,0.700876107,0.014238784
494,7.83E-05,0.710097044,0.013920207
495,7.10E-05,0.72316573,0.013436987
496,6.37E-05,0.73655974,0.013054115
497,5.80E-05,0.746407768,0.012817167
498,5.22E-05,0.760600076,0.012486678
499,4.63E-05,0.773611032,0.012168251
500,4.19E-05,0.782494037,0.011953274
501,3.75E-05,0.790850131,0.011755112
502,3.45E-05,0.802436699,0.011392759
503,3.16E-05,0.814527325,0.010960228
504,2.86E-05,0.822868543,0.010679592
505,2.56E-05,0.833907391,0.010269249
506,2.27E-05,0.845786099,0.009983954
507,2.12E-05,0.853334853,0.009824799
508,1.82E-05,0.86082961,0.009687555
509,1.67E-05,0.872499697,0.009539922
510,1.52E-05,0.883198876,0.009421904
511,1.37E-05,0.889350254,0.009365431
512,1.22E-05,0.898090323,0.009283624
513,1.07E-05,0.906342614,0.009172745
514,1.07E-05,0.912421768,0.009070373
515,9.18E-06,0.922674137,0.008992204
516,9.22E-06,0.932802396,0.008856695
517,7.69E-06,0.938857998,0.008754327
518,7.71E-06,0.944429522,0.008648345
519,6.18E-06,0.951789933,0.008484179
520,6.18E-06,0.958000127,0.008401956
521,4.65E-06,0.963191938,0.008410575
522,4.66E-06,0.969536156,0.008448492
523,4.66E-06,0.973800572,0.008480836
524,4.66E-06,0.976561334,0.008487702
525,3.11E-06,0.980989557,0.008472209
526,3.12E-06,0.985511662,0.008446457
527,3.13E-06,0.98970143,0.008445306
528,3.14E-06,0.993740439,0.008469906
529,3.15E-06,0.997016345,0.008491077
530,1.58E-06,0.998614177,0.008558244
531,1.58E-06,0.999779492,0.00859687
532,1.58E-06,1,0.008614184
533,1.58E-06,0.998134138,0.008606356
534,1.58E-06,0.997392824,0.008588118
535,1.58E-06,0.997735347,0.008645688
536,1.59E-06,0.997342105,0.008833368
537,1.59E-06,0.99597735,0.009044652
538,1.59E-06,0.994669635,0.009198
539,1.60E-06,0.991583699,0.009334895
540,1.60E-06,0.987572431,0.009476758
541,1.60E-06,0.984038272,0.00964653
